SC Total Time Values,,,,,,
,pj_value,pj_file,pm_value,pm_file,pc_value,pc_file
bfs,37.12893,p_jirovecii2s_cerevisiae.bfs.k3.txt,37.43053,p_murina2s_cerevisiae.bfs.k3.txt,37.09601,p_carinii2s_cerevisiae.bfs.k3.txt
bts,34.94724,p_jirovecii2s_cerevisiae.bts.k3.txt,33.66345,p_murina2s_cerevisiae.bts.k3.txt,33.73845,p_carinii2s_cerevisiae.bts.k3.txt
graph,0.30917,p_jirovecii2s_cerevisiae.graph.k3.txt,0.32479,p_murina2s_cerevisiae.graph.k3.txt,0.33512,p_carinii2s_cerevisiae.graph.k3.txt
faiss,3.6086,p_jirovecii2s_cerevisiae.faiss.k3.txt,2.8463,p_murina2s_cerevisiae.faiss.k3.txt,3.02181,p_carinii2s_cerevisiae.faiss.k3.txt
,,,,,,
SP Total Time Values,,,,,,
,pj_value,pj_file,pm_value,pm_file,pc_value,pc_file
bfs,31.39337,p_jirovecii2s_pombe.bfs.k3.txt,29.76861,p_murina2s_pombe.bfs.k3.txt,30.85426,p_carinii2s_pombe.bfs.k3.txt
bts,29.9088,p_jirovecii2s_pombe.bts.k3.txt,28.94471,p_murina2s_pombe.bts.k3.txt,29.05508,p_carinii2s_pombe.bts.k3.txt
graph,0.28939,p_jirovecii2s_pombe.graph.k3.txt,0.25994,p_murina2s_pombe.graph.k3.txt,0.32494,p_carinii2s_pombe.graph.k3.txt
faiss,2.48781,p_jirovecii2s_pombe.faiss.k3.txt,2.23002,p_murina2s_pombe.faiss.k3.txt,2.43229,p_carinii2s_pombe.faiss.k3.txt
,,,,,,
TD Total Time Values,,,,,,
,pj_value,pj_file,pm_value,pm_file,pc_value,pc_file
bfs,28.26284,p_jirovecii2taphrina_deformans.bfs.k3.txt,27.63263,p_murina2taphrina_deformans.bfs.k3.txt,27.21939,p_carinii2taphrina_deformans.bfs.k3.txt
bts,26.72906,p_jirovecii2taphrina_deformans.bts.k3.txt,25.73532,p_murina2taphrina_deformans.bts.k3.txt,25.75632,p_carinii2taphrina_deformans.bts.k3.txt
graph,0.32396,p_jirovecii2taphrina_deformans.graph.k3.txt,0.32038,p_murina2taphrina_deformans.graph.k3.txt,0.31223,p_carinii2taphrina_deformans.graph.k3.txt
faiss,2.57596,p_jirovecii2taphrina_deformans.faiss.k3.txt,2.15116,p_murina2taphrina_deformans.faiss.k3.txt,2.1781,p_carinii2taphrina_deformans.faiss.k3.txt
,,,,,,
TD_SP_SC Total Time Values,,,,,,
,pj_value,pj_file,pm_value,pm_file,pc_value,pc_file
bfs,106.11674,p_jirovecii2td_sp_sc.bfs.k5.txt,100.92227,p_murina2td_sp_sc.bfs.k5.txt,99.4449,p_carinii2td_sp_sc.bfs.k5.txt
bts,92.02177,p_jirovecii2td_sp_sc.bts.k5.txt,88.30734,p_murina2td_sp_sc.bts.k5.txt,88.81786,p_carinii2td_sp_sc.bts.k5.txt
graph,0.66776,p_jirovecii2td_sp_sc.graph.k5.txt,0.6386,p_murina2td_sp_sc.graph.k5.txt,0.64082,p_carinii2td_sp_sc.graph.k5.txt
faiss,16.06751,p_jirovecii2td_sp_sc.faiss.k5.txt,15.1305,p_murina2td_sp_sc.faiss.k5.txt,15.21344,p_carinii2td_sp_sc.faiss.k5.txt